,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
260,274,al-Nu'man bin Bashir ibn Sa'd ,Comp.(RA) [1st Generation],1 AH/623 CE (Medina),65 AH/685 CE (Hims)[ Killed ],Medina,"['1 AH', '623 CE']",1,623,65,685,Hims,,Bashir ibn Sa'd [132],'Amra bint Rawaha [272],,,,,,,,,,,,,'Abdullah, Muhammad bin al-Nu'man bin Basheer [11538] , Yazid bin al-N'uman bin Basheer [13316] , Hameed bin al-N'uman bin Bashir [12704],,,,,,,,,Umayya or Ubayya bint Bashir ibn Sa'd [275],,,,,,,,,,,Medina, Syria, Kufa,,,Muhammad (saw) [1] , Prophet Muhammad(saw) [1] , 'Abdullah ibn Rawaha [48] , 'Umar ibn al-Khattab [3] , 'Aisha bint Abi Bakr [53],,,,,,,,,,,,,,,,,,,,Muhammad bin al-Nu'man bin Basheer [11538] , Hameed bin al-N'uman bin Bashir [12704] , Habib bin Salm al-Ansari [11837] , 'Amir al-Sha'bi [11052] , 'Ubaydullah bin 'Abdullah bin 'Utba [11004] , 'Urwa ibn al-Zubayr [10511] , Abu Ishaq al-Sabay'ai' [11049] , Abu Qalaba, 'Abdullah bin Zayd al-Jarmi [11047] , Mamtur Abu Salam al-Aswad [10968] , Salm bin Abi al-Ja'd [11342] , Humaid bin 'Abdur Rahman [10561] , Khaythama bin 'Abdur Rahman [11332] , Smak bin Hrb bin Aws [10770] , al-Yzar bin Hryth al-Bdy al-Kwfy [10808] , al-Mfdl bin al-Mhlb [14373] , al-Azhar bin 'Abdullah al-Harazi [18019],,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,,
261,275,Umayya or Ubayya bint Bashir ibn Sa'd ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Bashir ibn Sa'd [132],'Amra bint Rawaha [272],,,,,,,,,,,,,,,,,,,,,,,,,al-Nu'man bin Bashir ibn Sa'd [274],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
262,276,Khallad ibn Suwayd b. Tha'laba ,Comp.(RA),(Medinah),5 AH/627 CE (Medina)[ Martyred(Qurayza) ],Medinah,[],,,5,627,"Medina, Qurayza",Martyred,Suwayd b. Tha'laba b. 'Amr,'Amra bint Sa'd b. Qays if B.Harithah b.al-Khazraj,Layla bint 'Ubada b. Dulaim [154],,,,,,,,,,,,al-Saib bin Khallad bin Suwayd [277] , Mandwas bint Khallad bin Suwayd [278],,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,
263,277,al-Saib bin Khallad bin Suwayd ,Comp.(RA) [1st Generation],(Medina),~71 AH (Medina)[ Natural ],Medina,[],,,71,,Medina,Natural,Khallad ibn Suwayd b. Tha'laba [276],Layla bint 'Ubada b. Dulaim [154],Unaysa or Nufaysa bint Qays [279],,,,,,,,,,,,Khallad bin al-Saib bin Khallad [1600] , 'Abdullah,,,,,,,,,,,Mandwas bint Khallad bin Suwayd [278],,,,,,,,,,,Medina, Yemen,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Khallad bin al-Saib bin Khallad [1600] , Salah bin Khywan [18427] , 'Ata ibn Yasar [11020] , Muhammad bin Ka'b bin Sulaym al-Qarzi [11221] , 'Abdur Rahman bin 'Abddllah bin 'AR [11518],,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,,
264,278,Mandwas bint Khallad bin Suwayd ,Comp.(RA),(Medinah),(Medina)[ Martyred(Qurayza) ],Medinah,[],,,,,"Medina, Qurayza",Martyred,Khallad ibn Suwayd b. Tha'laba [276],Layla bint 'Ubada b. Dulaim [154],,,,,,,,,,,,,,,,,,,,,,,,,al-Saib bin Khallad bin Suwayd [277],,,,,,,,,,,Medina, Yemen,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Sulayman ibn Yasar [11005],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
265,279,Unaysa or Nufaysa bint Qays ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Qays b. Tha'laba b. Zayd,Unaysa bint Waqid,al-Saib bin Khallad bin Suwayd [277],,,,,,,,,,,,Khallad, 'Abdullah,,,,,,,,,,,,,,,,,,,,,,Medina, Yemen,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
266,280,Subay' bin Qays bin 'Aysha ,Comp.(RA),(Medinah),(Medina)[ Martyred(Qurayza) ],Medinah,[],,,,,"Medina, Qurayza",Martyred,Qays bin 'Aysha b. Umayya,Khadija bint 'Amr bin Zayd of B.al-Khazraj,,,,,,,,,,,,,'Abdullah,,,,,,,,,,,,'Abbad bin Qays bin 'Aysha [281],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
267,281,'Abbad bin Qays bin 'Aysha ,Comp.(RA),(Medinah),8 AH/629 CE (Syria)[ Martyred(Mau'ta) ],Medinah,[],,,8,629,"Syria, Mau'ta",Martyred,Qays bin 'Aysha b. Umayya,Khadija bint 'Amr bin Zayd of B.al-Khazraj,,,,,,,,,,,,,,,,,,,,,,,,,Subay' bin Qays bin 'Aysha [280],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,
268,282,Yazid bin al-Harith ibn Qays ,Comp.(RA),(Medinah),2 AH/624 CE (Hijaz)[ Martyred(Badr) ],Medinah,[],,,2,624,"Hijaz, Badr",Martyred,al-Harith ibn Qays b. Malik,Fushum from Qudha',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr],,,,,,,,,,,,,,,,,,,,,,,
269,283,Hurayth bin Zayd ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Zayd b. Tha'laba (b. 'Abdu Rabbihi),,,,,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Zayd [47] , Qurayba bint Zayd [296],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
270,284,Sufyan bin Nasr bin 'Amr ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Nasr bin 'Amr b. al-Harith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
271,285,Khubayb bin Isaf ,Comp.(RA),(Medinah),~30 AH/650 CE (Madinah)[ Natural ],Medinah,[],,,30,650,Madinah,Natural,Isaf(Yasaf) b. 'Itabah b. 'Amr,Salma bint Mas'ud,Zaynab bint Qays b. Shammas [287] , Jamila bint 'Abdullah ibn Ubayy [286],,,,,,,,,,,Unaysa bint Khubayb bin Isaf [288] , Abu Kathir, 'Abdur Rahman bin Khubayb bin Isaf [11024],,,,,,,,,,Kulayb bin Isaf [1605],,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , B.Jusham [B.Jusham] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,
272,286,Jamila bint 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,Khawla bint al-Mundhir of Mailk b. al-Najjar,Hanzala bin Abi 'Amir al-Rahib [1715] , Thabit bin Qays b. Shammas [239] , Malik bin al-Dukhsham [159] , Khubayb bin Isaf [285],,,,,,,,,'Abdullah bin Hanzala bin Abi 'Amir [1716] , Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295] , Abu Kathir,,,,,,'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
273,287,Zaynab bint Qays b. Shammas ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Qays b. Shammas b. Malik,Khawla bint 'Amr b. Qays,Khubayb bin Isaf [285],,,,,,,,,,,,Unaysa bint Khubayb bin Isaf [288],,,,,,,,,,,,Thabit bin Qays b. Shammas [239] , Umm Thabit bint Qays b. Shammas [289],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
274,289,Umm Thabit bint Qays b. Shammas ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Qays b. Shammas b. Malik,Khawla bint 'Amr b. Qays,Thabit b. Sufyan [1601],,,,,,,,,,,,Simak bin Thabit bin Sufyan [1602] , al-Harith bin Thabit bin Sufyan [1604],,,,,,,,,,,Thabit bin Qays b. Shammas [239] , Zaynab bint Qays b. Shammas [287],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
275,290,Kabsha bint Waqid bin 'Amr ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Waqid bin 'Amr b. 'Amir,Hind bint Ruhm of Tayy',Rawahah bin Tha'labah, Qays bin Shammas,,,,,,,,,,,'Abdullah ibn Rawaha [48] , Thabit bin Qays b. Shammas [239],,,,,,,,,,,,,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
276,291,Muhammad bin Thabit ibn Qays b. Shammas ,Comp.(RA) [1st Generation],(Medinah),63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],Medinah,[],,,63,683,"Medinah, al-Harrah",,Thabit bin Qays b. Shammas [239],Jamila bint 'Abdullah ibn Ubayy [286],Umm 'Abdullah bint Hafs of B.Harith b.al-Khazraj, Others,,,,,,,,,,,'Abdullah, Suliaman, Yahya, Isma'il bin Muhammad bin Thabit [12675] , Yusuf bin Muhammad bin Thabit [28657] , Others,,,,,,,Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295],,,,,,,,Medinah,,,,,Muhammad (saw) [1] , Thabit bin Qays b. Shammas [239] , Salim Mawla Abu Hudhayfah [180],,,,,,,,,,,,,,,,,,,,,,Isma'il bin Muhammad bin Thabit [12675] , Yusuf bin Muhammad bin Thabit [28657] , al-Zuhri [11013],,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,
277,292,Zaynab bint Thabit ibn Qays b. Shammas ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Thabit bin Qays b. Shammas [239],Jamila bint 'Abdullah ibn Ubayy [286],,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin Thabit ibn Qays b. Shammas [291] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295],,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child],,,,,,,,,,,,,,,,,,,,,,
278,293,'Abdullah bin Thabit ibn Qays b. Shammas ,Comp.(RA),(Medinah),63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],Medinah,[],,,63,683,"Medinah, al-Harrah",,Thabit bin Qays b. Shammas [239],Jamila bint 'Abdullah ibn Ubayy [286],,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdur Rahman bin Thabit ibn Qays [294] , Yahya bin Thabit ibn Qays [295],,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child],,,,,,,,,,,,,,,,,,,,,,,
279,294,'Abdur Rahman bin Thabit ibn Qays ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Thabit bin Qays b. Shammas [239],Jamila bint 'Abdullah ibn Ubayy [286],,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , Yahya bin Thabit ibn Qays [295],,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child],,,,,,,,,,,,,,,,,,,,,,,
280,295,Yahya bin Thabit ibn Qays ,Comp.(RA),(Medinah),63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],Medinah,[],,,63,683,"Medinah, al-Harrah",,Thabit bin Qays b. Shammas [239],Jamila bint 'Abdullah ibn Ubayy [286],,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin Thabit ibn Qays b. Shammas [291] , Zaynab bint Thabit ibn Qays b. Shammas [292] , 'Abdullah bin Thabit ibn Qays b. Shammas [293] , 'Abdur Rahman bin Thabit ibn Qays [294],,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Child [Child],,,,,,,,,,,,,,,,,,,,,,,
281,296,Qurayba bint Zayd ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Zayd b. Tha'laba (b. 'Abdu Rabbihi),,,,,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Zayd [47] , Hurayth bin Zayd [283],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
282,297,Tamim bin Ya'ar bin Qays ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,,,A women from B. 'Amr b Waqsh,,,,,,,,,,,,Rabi'i, Jamila,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , B.Jadara [B.Jadara] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
283,298,Yazid/Zayd bin al-Muzayyan bin Qays ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,al-Muzayyan bin Qays,,,,,,,,,,,,,,'Amr, Ramla,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
284,299,'Abdullah bin 'Umair ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr],,,,,,,,,,,,,,,,,,,,,,,
285,300,'Abdullah bin 'Urfuta bin 'Adi ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Badr [Badr],,,,,,,,,,,,,,,,,,,,,,,
286,301,'Abdullah bin 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),12 AH/634 CE (Hijaz)[ Martyred(Yamamah) ],Medina,[],,,12,634,"Hijaz, Yamamah",Martyred,As-Samit b. Qays b. Asram,Khawla bint al-Mundhir of Mailk b. al-Najjar,,,,,,,,,,,,,'Ubada, Haliba, Khaythma, Umama,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,
287,302,Mulayka bint 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,Umm Khalid bint 'Amir of B. Sa'ida,Hilal bin Umayya of Aws,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
288,303,Ramla bint 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,Lubna bint 'Ubada b. Nadla of B.Qauqal,'Isma bin Zayd,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
289,304,Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,Lubna bint 'Ubada b. Nadla of B.Qauqal,Jubayr bin Thabit bin Dahhak of B.al-Hubla,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
